session_id,wpm,accuracy,error_rate,backspace_count,pause_time_ms,session_duration_min,words_typed,typing_style
1,62.4,90.2,10.9,21,599,23.6,25,Balanced Typist
2,79.8,90.3,9.9,12,395,27.6,35,Balanced Typist
3,83.0,83.9,16.0,21,351,22.2,31,Balanced Typist
4,84.2,95.7,7.8,3,250,22.2,31,Fast Typist
5,94.5,97.6,4.5,10,223,10.0,16,Fast Typist
6,104.2,93.9,7.0,14,205,13.1,22,Fast Typist
7,103.7,96.0,6.1,3,207,17.2,29,Fast Typist
8,77.0,95.2,4.6,7,441,28.2,39,Balanced Typist
9,71.9,95.8,4.6,24,350,12.0,15,Balanced Typist
10,65.9,94.0,8.3,22,487,24.2,27,Balanced Typist
11,72.6,90.6,10.2,10,439,29.5,33,Balanced Typist
12,96.2,94.3,7.5,5,147,26.2,42,Fast Typist
13,90.1,94.5,5.9,10,412,18.1,28,Fast Typist
14,97.0,94.1,8.4,8,204,18.1,29,Fast Typist
15,54.7,94.6,5.7,12,773,12.2,11,Careful Typist
16,49.1,95.8,5.8,12,1435,24.5,19,Careful Typist
17,81.9,93.2,6.9,8,198,9.8,14,Fast Typist
18,57.8,97.3,4.7,6,380,29.1,28,Careful Typist
19,57.5,94.6,8.6,19,419,13.0,13,Balanced Typist
20,99.3,94.7,7.0,12,170,14.5,22,Fast Typist
21,96.2,96.4,7.5,8,178,14.4,22,Fast Typist
22,53.5,95.1,5.9,7,1104,17.8,15,Careful Typist
23,102.2,93.7,7.2,11,141,23.2,40,Fast Typist
24,106.4,98.1,2.6,3,120,16.3,27,Fast Typist
25,56.4,85.0,20.4,27,389,22.8,22,Inconsistent Typist
26,112.3,93.5,8.1,10,147,19.9,35,Fast Typist
27,82.8,84.2,26.7,34,1033,23.7,34,Inconsistent Typist
28,94.5,88.3,11.8,6,303,23.8,39,Fast Typist
29,68.9,94.3,9.7,24,519,22.9,24,Inconsistent Typist
30,119.9,98.3,1.4,9,214,15.6,30,Fast Typist
31,67.2,90.7,11.6,22,562,24.6,29,Balanced Typist
32,93.8,95.9,5.4,3,108,18.9,29,Fast Typist
33,74.0,70.0,30.0,39,456,2.0,2,Inconsistent Typist
34,36.9,94.1,6.8,33,988,13.9,9,Inconsistent Typist
35,75.0,90.9,12.6,15,486,8.4,11,Balanced Typist
36,68.5,89.2,14.2,13,281,22.7,24,Balanced Typist
37,35.4,92.8,7.8,9,874,19.1,12,Careful Typist
38,80.8,82.0,23.7,58,988,12.7,17,Inconsistent Typist
39,85.0,89.9,18.3,35,835,21.7,31,Inconsistent Typist
40,68.8,92.5,10.3,24,120,15.8,19,Balanced Typist
41,37.7,96.1,3.7,8,1500,25.3,15,Careful Typist
42,89.7,90.8,9.4,36,315,7.6,12,Inconsistent Typist
43,94.9,97.9,4.8,10,386,25.7,42,Fast Typist
44,98.4,95.7,7.3,3,192,23.5,38,Fast Typist
45,95.4,98.8,4.2,1,214,13.0,22,Fast Typist
46,71.1,85.8,19.6,55,370,18.5,21,Inconsistent Typist
47,47.4,98.4,1.6,13,1397,29.9,24,Careful Typist
48,73.1,83.6,18.8,46,150,30.7,38,Inconsistent Typist
49,58.2,97.3,2.4,12,1142,21.5,21,Careful Typist
50,65.7,90.7,14.6,23,378,22.5,23,Balanced Typist
51,82.2,78.2,30.0,46,1108,33.8,49,Inconsistent Typist
52,20.0,97.0,9.0,55,703,7.7,3,Inconsistent Typist
53,71.9,93.4,7.7,16,450,4.0,5,Balanced Typist
54,75.9,91.1,11.9,15,663,16.8,21,Balanced Typist
55,106.1,96.0,6.2,10,213,17.7,33,Fast Typist
56,39.7,96.7,5.7,2,910,11.7,8,Careful Typist
57,97.9,92.4,7.5,10,190,14.1,22,Fast Typist
58,89.5,91.9,7.8,6,202,15.4,23,Fast Typist
59,72.8,86.2,13.8,12,301,19.1,24,Balanced Typist
60,75.4,87.0,15.8,23,448,25.6,32,Balanced Typist
61,58.9,91.8,9.7,17,369,12.5,11,Balanced Typist
62,64.0,75.5,30.0,38,727,12.7,14,Inconsistent Typist
63,71.0,84.3,23.7,40,815,16.9,20,Inconsistent Typist
64,48.2,75.0,30.0,15,897,17.4,14,Inconsistent Typist
65,100.3,92.2,9.2,11,223,4.5,8,Fast Typist
66,84.2,94.4,6.9,23,436,23.7,31,Balanced Typist
67,63.4,98.0,3.3,7,1139,20.9,21,Careful Typist
68,68.2,96.1,5.8,12,488,37.7,44,Balanced Typist
69,47.3,95.6,5.8,10,625,23.4,17,Careful Typist
70,69.0,86.7,20.3,38,963,10.0,11,Inconsistent Typist
71,82.5,90.6,12.1,16,369,11.8,16,Balanced Typist
72,95.1,93.3,8.1,3,181,3.0,5,Fast Typist
73,108.9,97.2,4.1,12,218,3.9,8,Fast Typist
74,98.1,93.0,8.9,14,314,16.1,27,Fast Typist
75,111.3,91.1,10.0,4,415,13.0,26,Fast Typist
76,71.3,92.7,8.1,12,428,25.3,32,Balanced Typist
77,100.7,91.5,9.8,6,228,14.4,26,Fast Typist
78,80.6,92.6,10.0,5,558,20.3,29,Balanced Typist
79,70.5,87.5,15.8,13,129,14.7,18,Balanced Typist
80,64.8,97.0,3.4,11,819,27.7,32,Careful Typist
81,62.3,95.7,3.8,10,1000,11.1,12,Careful Typist
82,66.1,97.7,2.0,7,684,34.6,37,Careful Typist
83,42.5,75.2,29.5,30,518,21.8,15,Inconsistent Typist
84,73.5,94.2,6.1,12,497,27.7,32,Balanced Typist
85,47.2,99.0,1.4,14,651,5.0,4,Careful Typist
86,60.6,83.8,16.0,15,370,20.9,20,Balanced Typist
87,106.9,98.8,1.8,14,389,16.1,28,Fast Typist
88,103.6,94.3,5.8,8,259,10.5,18,Fast Typist
89,71.4,83.1,22.7,26,740,18.1,20,Inconsistent Typist
90,50.6,99.3,0.0,5,826,8.0,6,Careful Typist
91,100.7,81.1,25.3,53,1303,21.9,38,Inconsistent Typist
92,114.3,93.6,6.9,6,165,35.8,73,Fast Typist
93,107.1,93.5,7.2,8,79,11.4,19,Fast Typist
94,117.1,96.6,4.6,12,258,18.8,37,Fast Typist
95,99.9,94.9,7.8,12,291,22.5,40,Fast Typist
96,80.1,83.2,22.0,20,326,18.4,26,Inconsistent Typist
97,76.1,90.4,12.8,12,380,30.4,36,Balanced Typist
98,54.4,98.5,1.7,13,1196,24.8,23,Careful Typist
99,117.1,93.1,7.9,10,247,12.0,23,Fast Typist
100,106.1,92.0,10.7,7,98,21.0,40,Fast Typist
101,76.3,91.9,8.7,28,512,22.1,28,Balanced Typist
102,70.5,93.6,10.9,10,565,16.6,18,Balanced Typist
103,69.0,90.5,11.3,18,356,20.8,23,Balanced Typist
104,73.5,90.6,15.6,26,986,28.4,35,Inconsistent Typist
105,99.2,95.8,6.3,6,111,19.2,32,Fast Typist
106,113.7,96.2,4.2,7,267,5.3,10,Fast Typist
107,118.9,98.0,3.6,7,76,30.9,63,Fast Typist
108,107.6,95.1,6.1,4,222,12.1,23,Fast Typist
109,93.4,91.4,15.2,25,290,10.8,18,Inconsistent Typist
110,83.3,94.3,7.9,28,437,17.2,23,Balanced Typist
111,64.6,93.7,8.1,16,420,30.5,33,Balanced Typist
112,115.3,93.5,9.9,5,236,16.9,34,Fast Typist
113,48.7,85.0,20.3,31,758,2.0,2,Inconsistent Typist
114,101.9,95.9,5.7,15,297,31.3,56,Fast Typist
115,66.8,93.4,8.0,12,286,18.8,21,Balanced Typist
116,27.3,98.5,4.1,7,380,19.6,8,Careful Typist
117,74.6,89.9,14.1,17,248,24.1,28,Balanced Typist
118,62.0,89.3,12.9,11,330,21.4,23,Balanced Typist
119,106.5,93.0,6.5,8,262,19.0,36,Fast Typist
120,54.8,95.5,6.0,10,430,19.6,19,Balanced Typist
121,84.5,99.5,2.3,20,505,11.3,15,Balanced Typist
122,88.8,91.3,9.7,9,197,27.4,41,Fast Typist
123,53.3,83.5,25.5,41,727,19.1,16,Inconsistent Typist
